id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-01-26T23:21:50;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-01-26T18:22:10;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-01-26T20:31:12;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-01-26T13:15:37;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-01-27T04:38:43;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-01-26T16:00:49;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-01-26T18:57:21;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-01-26T09:00:00;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-01-26T11:49:36;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-01-26T12:32:01;601;74069
